date time epoch moteid temperature humidity light voltage seq date_days
2004-02-28 01:07:46.133206 20 39 19.0672 39.6539 150.88 2.68742 1077930466 12476
2004-02-28 01:09:16.107862 23 39 19.0182 39.7557 150.88 2.68742 1077930556 12476
2004-02-28 01:09:46.551439 24 39 19.0084 39.6539 150.88 2.68742 1077930586 12476
2004-02-28 01:10:46.54594 26 39 19.0084 39.7557 150.88 2.68742 1077930646 12476
2004-02-28 01:11:16.661702 27 39 19.0084 39.7557 150.88 2.68742 1077930676 12476
2004-02-28 01:11:46.648812 28 39 19.028 39.7557 150.88 2.68742 1077930706 12476
2004-02-28 01:13:16.839704 31 39 19.0182 39.6878 150.88 2.68742 1077930796 12476
2004-02-28 01:14:16.557075 33 39 19.028 39.62 150.88 2.68742 1077930856 12476
2004-02-28 01:14:46.385169 34 39 19.0084 39.6539 150.88 2.68742 1077930886 12476
2004-02-28 01:16:16.592313 37 39 18.9692 39.8913 150.88 2.68742 1077930976 12476
2004-02-28 01:16:46.792905 38 39 18.9594 39.8913 150.88 2.67532 1077931006 12476
2004-02-28 01:17:16.553759 39 39 18.9594 39.8235 150.88 2.68742 1077931036 12476
2004-02-28 01:19:16.297085 43 39 18.9594 39.7557 158.24 2.68742 1077931156 12476
2004-02-28 01:20:16.887621 45 39 18.9594 39.8235 150.88 2.69964 1077931216 12476
2004-02-28 01:22:16.812954 49 39 18.9692 39.7557 150.88 2.67532 1077931336 12476
2004-02-28 01:22:46.305704 50 39 18.9594 39.8235 143.52 2.68742 1077931366 12476
2004-02-28 01:23:16.683654 51 39 18.93 39.8574 158.24 2.68742 1077931396 12476
2004-02-28 01:24:46.053504 54 39 18.93 39.8574 158.24 2.68742 1077931486 12476
2004-02-28 01:25:16.513387 55 39 18.93 39.8574 158.24 2.68742 1077931516 12476
2004-02-28 01:26:16.18856 57 39 18.9496 39.7557 158.24 2.68742 1077931576 12476
2004-02-28 01:27:46.865531 60 39 18.9594 39.7557 158.24 2.68742 1077931666 12476
2004-02-28 01:30:16.616827 65 39 18.9594 39.7557 158.24 2.67532 1077931816 12476
2004-02-28 01:30:46.746671 66 39 18.9496 39.6878 158.24 2.68742 1077931846 12476
2004-02-28 01:31:46.190429 68 39 18.9398 39.6539 158.24 2.68742 1077931906 12476
2004-02-28 01:34:16.377557 73 39 18.93 39.5521 158.24 2.68742 1077932056 12476
2004-02-28 01:34:46.58425 74 39 18.9496 39.586 158.24 2.68742 1077932086 12476
2004-02-28 01:35:16.7575 75 39 18.9202 39.586 158.24 2.68742 1077932116 12476
2004-02-28 01:36:46.378868 78 39 18.9104 39.62 158.24 2.68742 1077932206 12476
2004-02-28 01:37:16.651253 79 39 18.93 39.62 158.24 2.68742 1077932236 12476
2004-02-28 01:41:46.875838 88 39 18.8614 39.7557 158.24 2.68742 1077932506 12476
2004-02-28 01:43:16.110034 91 39 18.8712 39.7217 158.24 2.68742 1077932596 12476
2004-02-28 01:44:16.112645 93 39 18.881 39.6878 158.24 2.68742 1077932656 12476
2004-02-28 01:47:46.008854 100 39 18.9202 39.6878 158.24 2.68742 1077932866 12476
2004-02-28 01:48:16.786182 101 39 18.9202 39.9591 158.24 2.68742 1077932896 12476
2004-02-28 01:50:16.882763 105 39 18.8908 39.6878 158.24 2.67532 1077933016 12476
2004-02-28 01:50:46.238077 106 39 18.8712 39.6878 158.24 2.68742 1077933046 12476
2004-02-28 01:51:46.514134 108 39 18.8614 39.8235 158.24 2.68742 1077933106 12476
2004-02-28 01:52:16.261157 109 39 18.8614 39.8913 158.24 2.68742 1077933136 12476
2004-02-28 01:53:16.765778 111 39 18.832 39.7557 158.24 2.69964 1077933196 12476
2004-02-28 01:54:16.022411 113 39 18.832 39.8913 158.24 2.68742 1077933256 12476
2004-02-28 01:55:16.271546 115 39 18.832 39.8235 158.24 2.68742 1077933316 12476
