date time epoch moteid temperature humidity light voltage seq date_days
2004-02-28 00:58:47.179192 2 20 21.576 33.4905 128.8 3.15915 1077929927 12476
2004-02-28 10:19:17.07268 3 20 22.4384 34.8487 1494.08 2.73696 1077963557 12476
2004-02-28 10:19:49.046786 4 20 22.8206 34.2577 1494.08 2.74963 1077963589 12476
2004-02-28 10:20:17.916526 5 20 23.095 33.8396 1494.08 2.74963 1077963617 12476
2004-02-28 10:20:47.364191 6 20 23.3204 33.3857 1494.08 2.74963 1077963647 12476
2004-02-28 10:21:47.354574 8 20 23.6438 32.7206 1494.08 2.74963 1077963707 12476
2004-02-28 10:22:18.958847 9 20 23.7516 32.5102 1494.08 2.74963 1077963738 12476
2004-02-28 10:22:48.210849 10 20 23.8692 32.2293 1435.2 2.74963 1077963768 12476
2004-02-28 01:06:46.263577 18 20 20.4392 35.7148 128.8 3.12589 1077930406 12476
2004-02-28 01:07:16.280936 19 20 20.4 35.9912 128.8 3.14243 1077930436 12476
2004-02-28 01:07:46.13437 20 20 20.4098 35.7839 128.8 3.14243 1077930466 12476
2004-02-28 01:09:46.124888 24 20 20.3314 35.853 128.8 3.14243 1077930586 12476
2004-02-28 01:10:16.665625 25 20 20.3118 35.8876 128.8 3.14243 1077930616 12476
2004-02-28 01:10:46.621047 26 20 20.3314 35.8876 128.8 3.14243 1077930646 12476
2004-02-28 01:11:16.215085 27 20 20.3216 35.8876 128.8 3.14243 1077930676 12476
2004-02-28 01:11:46.630868 28 20 20.2726 35.9221 128.8 3.14243 1077930706 12476
2004-02-28 01:12:16.751352 29 20 20.253 35.9912 128.8 3.14243 1077930736 12476
2004-02-28 01:12:46.221392 30 20 20.2726 35.9567 128.8 3.14243 1077930766 12476
2004-02-28 01:13:16.756177 31 20 20.2432 35.9912 128.8 3.14243 1077930796 12476
2004-02-28 01:14:45.976004 34 20 20.204 36.0603 128.8 3.12589 1077930885 12476
2004-02-28 01:15:16.515412 35 20 20.2236 36.0257 114.08 3.14243 1077930916 12476
2004-02-28 01:15:46.670376 36 20 20.204 36.2328 45.08 3.14243 1077930946 12476
2004-02-28 01:16:16.485847 37 20 20.2334 36.4741 128.8 3.14243 1077930976 12476
2004-02-28 01:16:46.240026 38 20 20.2236 36.5774 128.8 3.14243 1077931006 12476
2004-02-28 01:17:16.266328 39 20 20.2432 36.5774 128.8 3.14243 1077931036 12476
2004-02-28 01:18:46.693129 42 20 20.2432 36.5085 128.8 3.14243 1077931126 12476
2004-02-28 01:20:16.244806 45 20 20.2824 36.3018 128.8 3.14243 1077931216 12476
2004-02-28 01:20:46.525105 46 20 20.2824 36.4741 128.8 3.14243 1077931246 12476
2004-02-28 01:22:46.811054 50 20 19.9786 36.4741 150.88 3.14243 1077931366 12476
2004-02-28 01:23:46.469423 52 20 19.7434 36.9215 158.24 3.14243 1077931426 12476
2004-02-28 01:24:46.140337 54 20 19.6356 37.1277 158.24 3.14243 1077931486 12476
2004-02-28 01:25:15.896008 55 20 19.616 37.1963 158.24 3.14243 1077931515 12476
2004-02-28 01:25:46.278086 56 20 19.5768 37.2993 158.24 3.14243 1077931546 12476
2004-02-28 01:26:16.566807 57 20 19.4984 37.4365 158.24 3.14243 1077931576 12476
2004-02-28 01:26:46.29572 58 20 19.4984 37.4365 158.24 3.12589 1077931606 12476
2004-02-28 01:28:16.325552 61 20 19.4102 37.6422 158.24 3.12589 1077931696 12476
2004-02-28 01:29:16.29487 63 20 19.3612 37.745 158.24 3.12589 1077931756 12476
2004-02-28 01:30:16.39984 65 20 19.2926 37.8819 158.24 3.14243 1077931816 12476
2004-02-28 01:30:46.925414 66 20 19.224 38.0187 158.24 3.14243 1077931846 12476
2004-02-28 01:31:16.614375 67 20 19.2338 38.0529 158.24 3.12589 1077931876 12476
2004-02-28 01:32:16.285642 69 20 19.224 38.0529 158.24 3.12589 1077931936 12476
