moteid year month day hour minute second time_seconds ambient_temp surface_temp rel_humidity rain_meter
7 2007 9 21 9 49 39 1190360979 5.82 2.5380000000000003 48.567 0.0
7 2007 9 21 9 51 39 1190361099 6.06 2.5380000000000003 47.559 0.0
7 2007 9 21 9 53 39 1190361219 6.24 2.475 47.06 0.0
7 2007 9 21 9 55 39 1190361339 6.42 2.975 46.403999999999996 0.0
7 2007 9 21 9 57 39 1190361459 6.61 3.6 46.458999999999996 0.4
7 2007 9 21 9 59 39 1190361579 6.9 5.412000000000001 45.285 0.4
7 2007 9 21 10 1 39 1190361699 6.94 6.725 45.974 0.4
7 2007 9 21 10 3 39 1190361819 7.2 7.6 45.571000000000005 0.4
7 2007 9 21 10 5 39 1190361939 6.88 7.1 46.74 0.4
7 2007 9 21 10 7 39 1190362059 6.93 7.912000000000001 46.437 0.4
7 2007 9 21 10 9 39 1190362179 7.14 8.162 46.185 0.4
7 2007 9 21 10 11 39 1190362299 7.28 8.475 45.581 0.4
7 2007 9 21 10 13 39 1190362419 7.1 8.662 45.994 0.4
7 2007 9 21 10 15 39 1190362539 7.42 9.912 45.255 0.4
7 2007 9 21 10 17 39 1190362659 7.11 9.475 46.615 0.4
7 2007 9 21 10 19 39 1190362779 7.46 9.475 46.81399999999999 0.4
7 2007 9 21 10 21 39 1190362899 7.61 9.725 43.835 0.4
7 2007 9 21 10 23 39 1190363019 7.25 10.412 47.034 0.4
7 2007 9 21 10 25 39 1190363139 7.12 10.912 47.788000000000004 0.4
7 2007 9 21 10 27 39 1190363259 7.34 10.912 46.86 0.4
7 2007 9 21 10 29 39 1190363379 7.24 10.787 48.111000000000004 0.4
7 2007 9 21 10 31 39 1190363499 7.2 11.162 48.381 0.4
7 2007 9 21 10 33 39 1190363619 7.28 11.537 47.285 0.4
7 2007 9 21 10 35 39 1190363739 7.48 12.162 46.878 0.4
7 2007 9 21 10 37 39 1190363859 7.5 11.975 47.375 0.4
7 2007 9 21 10 39 39 1190363979 7.51 11.662 47.376000000000005 0.4
7 2007 9 21 10 41 39 1190364099 7.52 11.85 47.931999999999995 0.4
7 2007 9 21 10 43 39 1190364219 7.44 12.037 48.78 0.4
7 2007 9 21 10 45 39 1190364339 7.47 12.037 48.325 0.4
7 2007 9 21 10 47 39 1190364459 7.56 12.725 46.486000000000004 0.4
