moteid year month day hour minute second time_seconds ambient_temp surface_temp rel_humidity rain_meter
6 2007 9 13 15 35 46 1189690546 12.17 14.475 53.25899999999999 0.0
6 2007 9 19 14 58 32 1190206712 2.08 10.975 68.38600000000001 0.0
6 2007 9 19 15 0 32 1190206832 2.17 10.725 68.456 0.0
6 2007 9 19 15 2 32 1190206952 2.18 10.162 69.834 0.0
6 2007 9 19 15 4 32 1190207072 1.98 10.037 70.822 0.0
6 2007 9 19 15 6 32 1190207192 2.56 10.287 71.499 0.0
6 2007 9 19 15 8 31 1190207311 2.62 9.85 67.20100000000001 0.0
6 2007 9 19 15 10 31 1190207431 2.3 9.475 66.214 0.0
6 2007 9 19 15 12 32 1190207552 2.5 9.287 67.02 0.0
6 2007 9 19 15 14 32 1190207672 2.66 9.537 64.833 0.0
6 2007 9 19 15 16 32 1190207792 2.71 9.162 66.847 0.0
6 2007 9 19 15 18 32 1190207912 3.28 9.412 68.01 0.0
6 2007 9 19 15 20 32 1190208032 2.52 8.787 67.34 0.0
6 2007 9 19 15 22 32 1190208152 2.33 8.662 69.733 0.0
6 2007 9 19 15 24 32 1190208272 2.12 8.537 71.919 0.0
6 2007 9 19 15 26 32 1190208392 2.64 9.1 72.454 0.0
6 2007 9 19 15 28 31 1190208511 2.2 9.162 71.14699999999999 0.0
6 2007 9 19 15 30 31 1190208631 2.12 8.85 72.34899999999999 0.0
6 2007 9 19 15 32 31 1190208751 1.91 8.537 73.036 0.0
6 2007 9 19 15 34 31 1190208871 1.75 8.412 72.72800000000001 0.0
6 2007 9 19 15 36 31 1190208991 2.31 8.912 75.305 0.0
6 2007 9 19 15 38 31 1190209111 2.27 8.912 75.73899999999999 0.0
6 2007 9 19 15 40 31 1190209231 2.38 8.975 76.325 0.0
6 2007 9 19 15 42 31 1190209351 1.99 9.037 75.28699999999999 0.0
6 2007 9 19 15 44 31 1190209471 2.18 9.162 75.278 0.0
6 2007 9 19 15 46 31 1190209591 1.62 8.287 74.173 0.0
6 2007 9 19 15 48 31 1190209711 2.42 8.412 77.281 0.0
6 2007 9 19 15 50 31 1190209831 1.86 8.662 73.65100000000001 0.0
6 2007 9 19 15 52 31 1190209951 1.92 8.412 71.54899999999999 0.0
6 2007 9 19 15 54 31 1190210071 2.29 8.412 73.865 0.0
6 2007 9 19 15 56 31 1190210191 2.15 8.537 70.804 0.0
6 2007 9 19 15 58 31 1190210311 2.48 8.725 73.704 0.0
6 2007 9 19 16 0 31 1190210431 2.23 8.537 73.202 0.0
6 2007 9 19 16 2 31 1190210551 2.38 8.725 71.003 0.0
6 2007 9 19 16 4 31 1190210671 2.24 8.35 69.016 0.0
6 2007 9 19 16 6 31 1190210791 2.18 8.537 70.45100000000001 0.0
6 2007 9 19 16 8 31 1190210911 2.15 8.037 70.085 0.0
6 2007 9 19 16 10 31 1190211031 2.12 8.225 71.868 0.0
6 2007 9 19 16 12 31 1190211151 1.99 8.412 73.653 0.0
6 2007 9 19 16 14 31 1190211271 2.2 7.725 76.09100000000001 0.0
6 2007 9 19 16 16 31 1190211391 1.9 7.412000000000001 72.884 0.0
6 2007 9 19 16 18 31 1190211511 1.89 7.6 74.031 0.0
6 2007 9 19 16 20 31 1190211631 1.89 7.6 76.342 0.0
6 2007 9 19 16 22 31 1190211751 2.04 7.725 76.374 0.0
6 2007 9 19 16 24 31 1190211871 2.04 7.725 77.752 0.0
6 2007 9 19 16 26 31 1190211991 1.9 7.6 78.581 0.0
6 2007 9 19 16 28 31 1190212111 1.51 7.287000000000001 77.564 0.0
6 2007 9 19 16 30 31 1190212231 2.12 7.662000000000001 78.559 0.0
6 2007 9 19 16 43 46 1190213026 1.9 7.162000000000001 79.976 0.0
6 2007 9 19 16 45 46 1190213146 1.9 7.1 81.628 0.0
6 2007 9 19 16 47 46 1190213266 2.14 7.225 81.15100000000001 0.0
6 2007 9 19 16 49 46 1190213386 2.12 7.287000000000001 82.804 0.0
6 2007 9 19 16 51 46 1190213506 1.82 7.1 83.324 0.0
6 2007 9 19 16 53 46 1190213626 1.69 7.1 80.97800000000001 0.0
6 2007 9 19 16 55 46 1190213746 2.16 7.35 82.126 0.0
6 2007 9 19 16 57 46 1190213866 1.54 7.037000000000001 81.498 0.0
6 2007 9 19 16 59 46 1190213986 1.46 6.975 82.694 0.0
6 2007 9 19 17 1 46 1190214106 1.66 7.225 82.786 0.0
6 2007 9 19 17 3 46 1190214226 1.91 7.162000000000001 83.3 0.0
6 2007 9 19 17 5 46 1190214346 1.98 7.162000000000001 83.36200000000001 0.0
6 2007 9 19 17 7 46 1190214466 1.76 6.975 82.742 0.0
6 2007 9 19 17 9 46 1190214586 1.66 7.037000000000001 82.741 0.0
6 2007 9 19 17 11 46 1190214706 1.96 6.975 83.35700000000001 0.0
6 2007 9 19 17 13 46 1190214826 1.86 6.662000000000001 82.993 0.0
6 2007 9 19 17 15 46 1190214946 1.54 6.35 84.068 0.0
6 2007 9 19 17 17 46 1190215066 1.74 6.662000000000001 84.965 0.0
6 2007 9 19 17 19 46 1190215186 1.59 6.225 85.15 0.0
6 2007 9 19 17 21 46 1190215306 1.77 6.475 86.471 0.0
6 2007 9 19 17 23 46 1190215426 1.36 6.287000000000001 86.455 0.0
6 2007 9 19 17 25 46 1190215546 1.54 6.225 86.805 0.0
6 2007 9 19 17 27 46 1190215666 1.68 6.225 87.57600000000001 0.2
6 2007 9 19 17 29 46 1190215786 1.36 6.225 87.279 0.2
6 2007 9 19 17 31 46 1190215906 1.36 6.475 87.581 0.2
6 2007 9 19 17 33 47 1190216027 1.3 5.662000000000001 88.464 0.2
6 2007 9 19 17 35 47 1190216147 1.18 6.1 88.87799999999999 0.2
6 2007 9 19 17 37 47 1190216267 1.29 5.85 89.054 0.2
6 2007 9 19 17 39 47 1190216387 1.16 5.912000000000001 89.084 0.2
6 2007 9 19 17 41 47 1190216507 1.2 5.725 89.368 0.2
6 2007 9 19 17 43 47 1190216627 1.08 5.725 89.48299999999999 0.2
6 2007 9 19 17 45 47 1190216747 1.14 5.6 89.854 0.2
6 2007 9 19 17 47 47 1190216867 0.85 5.162000000000001 90.111 0.2
6 2007 9 19 17 49 47 1190216987 1.06 5.35 90.436 0.2
6 2007 9 19 17 51 47 1190217107 1.15 5.725 90.54299999999999 0.2
6 2007 9 19 17 53 47 1190217227 0.92 5.162000000000001 90.25399999999999 0.2
6 2007 9 19 17 55 47 1190217347 0.91 5.225 90.085 0.2
6 2007 9 19 17 57 47 1190217467 0.96 5.787000000000001 89.744 0.2
6 2007 9 19 17 59 47 1190217587 1.02 6.412000000000001 89.656 0.2
6 2007 9 19 18 1 46 1190217706 1.08 5.912000000000001 89.63 0.2
6 2007 9 19 18 3 46 1190217826 1.08 5.475 89.42 0.2
6 2007 9 19 18 5 47 1190217947 1.36 5.725 89.535 0.2
6 2007 9 19 18 7 47 1190218067 1.2 5.85 88.756 0.2
6 2007 9 19 18 9 47 1190218187 1.21 5.412000000000001 88.801 0.2
6 2007 9 19 18 11 47 1190218307 1.06 5.037 89.205 0.2
6 2007 9 19 18 13 47 1190218427 1.24 4.662 89.67200000000001 0.2
6 2007 9 19 18 15 47 1190218547 1.14 4.287 89.959 0.2
6 2007 9 19 18 17 47 1190218667 0.9 3.975 90.041 0.2
6 2007 9 19 18 19 47 1190218787 1.1 3.6630000000000003 89.969 0.2
6 2007 9 19 18 21 47 1190218907 0.88 3.725 89.911 0.2
6 2007 9 19 18 23 47 1190219027 0.83 3.85 90.00200000000001 0.2
6 2007 9 19 18 25 47 1190219147 0.82 3.6 90.08200000000001 0.2
6 2007 9 19 18 27 47 1190219267 0.83 3.7880000000000003 90.10600000000001 0.2
6 2007 9 19 18 29 47 1190219387 0.82 3.6630000000000003 89.895 0.2
6 2007 9 19 18 31 47 1190219507 0.96 3.725 89.744 0.2
6 2007 9 19 18 33 47 1190219627 0.98 3.6630000000000003 89.645 0.2
